epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,784.541,0.63198,2.18801,1.15211,0.69446,0.69911,0.80862,0.67288,0.61428,2.29351,1.12279,0.000330808,0.000330808,0.000330808
2,1556.05,0.68247,1.45654,1.166,0.81821,0.7594,0.84602,0.68198,0.71177,1.57314,1.21212,0.000657566,0.000657566,0.000657566
3,2318.65,0.71788,1.34025,1.18285,0.69393,0.72663,0.79494,0.58258,0.86371,1.70328,1.35451,0.000977725,0.000977725,0.000977725
4,3090.26,0.70974,1.21408,1.17642,0.75513,0.77774,0.84527,0.65196,0.74545,1.26467,1.23263,0.0009703,0.0009703,0.0009703
5,3838.17,0.70535,1.09715,1.1738,0.72168,0.67532,0.77488,0.61441,0.72657,1.4003,1.22042,0.0009604,0.0009604,0.0009604
6,4596.88,0.6843,1.02163,1.15344,0.83832,0.75133,0.86599,0.68822,0.75997,1.0495,1.23125,0.0009505,0.0009505,0.0009505
7,5197.94,0.67421,0.95095,1.14683,0.87435,0.77181,0.89234,0.74793,0.60849,0.91291,1.11269,0.0009406,0.0009406,0.0009406
8,5734.54,0.6522,0.90773,1.1307,0.83563,0.76622,0.88798,0.75212,0.6058,0.96691,1.11956,0.0009307,0.0009307,0.0009307
9,6273.52,0.63499,0.84252,1.11457,0.77826,0.78739,0.88007,0.73202,0.65204,0.94766,1.17584,0.0009208,0.0009208,0.0009208
10,6813.94,0.61736,0.78922,1.11251,0.85925,0.83477,0.89747,0.7285,0.6772,0.81826,1.18634,0.0009109,0.0009109,0.0009109
11,7356.54,0.60568,0.76213,1.11084,0.85271,0.85215,0.91846,0.7873,0.59142,0.70393,1.08408,0.000901,0.000901,0.000901
12,7893.02,0.5842,0.72528,1.09181,0.88207,0.87071,0.94696,0.81829,0.56628,0.64507,1.07445,0.0008911,0.0008911,0.0008911
13,8417.79,0.6025,0.72383,1.10859,0.87109,0.81907,0.92999,0.81288,0.55621,0.70384,1.06257,0.0008812,0.0008812,0.0008812
